# Fly_q9: depth=6, perturb=9
# P_echo=0.000000 shots=100
# echo=1 means all-ones (H·H=X on QPU-1)
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1111111010
0 1001110010
0 1111111010
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1111111010
0 1001110010
0 1111111010
0 1111111010
0 1111111010
0 1001110010
0 1001110010
0 1001110010
0 1001110010
0 1001110010
0 1111111010
0 1111111010
0 1111111010
0 1001110010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1001110010
0 1001110010
0 1001110010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1001110010
0 1111111010
0 1001110010
0 1001110010
0 1111111010
0 1111111010
0 1111111010
0 1001110010
0 1111111010
0 1111111010
0 1111111010
0 1001110010
0 1111111010
0 1111111010
0 1001110010
